TreeDepth,Index,Address,Module,Symbol
0,152,0xf80733289f60,ntoskrnl1,NtCompactKeys
0,153,0xf807330d3fe0,ntoskrnl1,NtCompareObjects
0,154,0xf807330e1d20,ntoskrnl1,NtCompareSigningLevels
0,155,0xf80733148260,ntoskrnl1,NtCompareTokens
0,156,0xf807330ddae0,ntoskrnl1,ArbPreprocessEntry
0,156,0xf807330ddae0,ntoskrnl1,ArbQueryArbitrate
0,156,0xf807330ddae0,ntoskrnl1,EmFalseCallback
0,156,0xf807330ddae0,ntoskrnl1,FsRtlSyncVolumes
0,156,0xf807330ddae0,ntoskrnl1,IopPnPAddDevice
0,156,0xf807330ddae0,ntoskrnl1,NtCompleteConnectPort
0,156,0xf807330ddae0,ntoskrnl1,NtFlushInstructionCache
0,156,0xf807330ddae0,ntoskrnl1,PopPowerAggregatorValidateActiveCallback
0,156,0xf807330ddae0,ntoskrnl1,PopPowerAggregatorValidateModernStandbyCallback
0,156,0xf807330ddae0,ntoskrnl1,TtmpCalloutLiveDumpSecondaryCallback
0,156,0xf807330ddae0,ntoskrnl1,xHalAcpiGetMultiNode
0,156,0xf807330ddae0,ntoskrnl1,xHalAddInterruptRemapping
0,156,0xf807330ddae0,ntoskrnl1,xHalGetInterruptTranslator
0,156,0xf807330ddae0,ntoskrnl1,xHalPowerSetRebootHandler
0,156,0xf807330ddae0,ntoskrnl1,xHalTimerQueryCycleCounter
0,157,0xf8073328a240,ntoskrnl1,NtCompressKey
0,158,0xf8073302c150,ntoskrnl1,NtConnectPort
0,159,0xf8073337ae30,ntoskrnl1,NtConvertBetweenAuxiliaryCounterAndPerformanceCounter
0,160,0xf807332b0f90,ntoskrnl1,NtCreateDebugObject
0,161,0xf807330c45d0,ntoskrnl1,NtCreateDirectoryObject
0,162,0xf807330c45b0,ntoskrnl1,NtCreateDirectoryObjectEx
0,163,0xf807332fb8f0,ntoskrnl1,NtCreateEnclave
0,164,0xf80732c357c0,ntoskrnl1,NtCreateEnlistment
0,165,0xf807330e3790,ntoskrnl1,?GetPnpProperty@NT_DISK@@UEAAJPEAXPEAPEAX@Z
0,165,0xf807330e3790,ntoskrnl1,?ScAnsiToUnicodeString@@YAJPEADPEAU_UNICODE_STRING@@@Z
0,165,0xf807330e3790,ntoskrnl1,NtAdjustTokenClaimsAndDeviceGroups
0,165,0xf807330e3790,ntoskrnl1,NtCreateEventPair
0,165,0xf807330e3790,ntoskrnl1,NtFilterTokenEx
0,165,0xf807330e3790,ntoskrnl1,NtOpenEventPair
0,165,0xf807330e3790,ntoskrnl1,NtSetHighEventPair
0,165,0xf807330e3790,ntoskrnl1,NtSetHighWaitLowEventPair
0,165,0xf807330e3790,ntoskrnl1,NtSetLowEventPair
0,165,0xf807330e3790,ntoskrnl1,NtSetLowWaitHighEventPair
0,165,0xf807330e3790,ntoskrnl1,NtVdmControl
0,165,0xf807330e3790,ntoskrnl1,NtWaitHighEventPair
0,165,0xf807330e3790,ntoskrnl1,NtWaitLowEventPair
0,165,0xf807330e3790,ntoskrnl1,SeAdjustObjectSecurity
0,165,0xf807330e3790,ntoskrnl1,xHalIommuMapDevice
0,165,0xf807330e3790,ntoskrnl1,xHalLoadMicrocode
0,165,0xf807330e3790,ntoskrnl1,xHalPostMicrocodeUpdate
0,165,0xf807330e3790,ntoskrnl1,xHalUnloadMicrocode
0,166,0xf807331aead0,ntoskrnl1,NtCreateIRTimer
0,167,0xf807330bf3c0,ntoskrnl1,NtCreateIoCompletion
0,168,0xf8073309dde0,ntoskrnl1,NtCreateJobObject
0,169,0xf80733162ce0,ntoskrnl1,ArbAddReserved
0,169,0xf80733162ce0,ntoskrnl1,NtCreateJobSet
0,169,0xf80733162ce0,ntoskrnl1,xHalAllocatePmcCounterSet
0,169,0xf80733162ce0,ntoskrnl1,xHalDpReplaceBegin
