TreeDepth,Offset,Order,PID,Start,State,Type,Name,Display,Binary
0,0x14b17be3d80,553,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_WIN32_SHARE_PROCESS,PimIndexMaintenanceSvc_a91f1,Contact Data_a91f1,N/A
0,0x14b17be3f30,552,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_WIN32_SHARE_PROCESS,DevicesFlowUserSvc_a91f1,DevicesFlow_a91f1,N/A
0,0x14b17be4290,551,N/A,SERVICE_DISABLED,SERVICE_STOPPED,SERVICE_WIN32_SHARE_PROCESS,DevicePickerUserSvc_a91f1,DevicePicker_a91f1,N/A
0,0x14b17be4950,550,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_WIN32_SHARE_PROCESS,ConsentUxUserSvc_a91f1,ConsentUX_a91f1,N/A
0,0x14b17be4b00,549,1456,SERVICE_AUTO_START,SERVICE_RUNNING,SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS,CDPUserSvc_a91f1,Connected Devices Platform User Service_a91f1,C:\Windows\system32\svchost.exe -k UnistackSvcGroup
0,0x14b179ee7b0,194,2092,SERVICE_AUTO_START,SERVICE_RUNNING,SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS,LanmanWorkstation,Workstation,C:\Windows\System32\svchost.exe -k NetworkService -p
0,0x14b17a0a510,383,N/A,SERVICE_AUTO_START,SERVICE_STOPPED,SERVICE_WIN32_OWN_PROCESS,sppsvc,Software Protection,N/A
0,0x14b179e7cb0,110,2472,SERVICE_AUTO_START,SERVICE_RUNNING,SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS,DPS,Diagnostic Policy Service,C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p
0,0x14b179e2ee0,88,2784,SERVICE_AUTO_START,SERVICE_RUNNING,SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS,CryptSvc,Cryptographic Services,C:\Windows\system32\svchost.exe -k NetworkService -p
0,0x14b17a233c0,507,3904,SERVICE_DEMAND_START,SERVICE_RUNNING,SERVICE_WIN32_OWN_PROCESS,WdNisSvc,Windows Defender Antivirus Network Inspection Service,"""C:\ProgramData\Microsoft\Windows Defender\platform\4.18.2102.4-0\NisSrv.exe"""
0,0x14b179e2ba0,87,1476,SERVICE_AUTO_START,SERVICE_RUNNING,SERVICE_WIN32_SHARE_PROCESS,CoreMessagingRegistrar,CoreMessaging,C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork -p
0,0x14b179fbc30,269,1612,SERVICE_AUTO_START,SERVICE_RUNNING,SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS,NlaSvc,Network Location Awareness,C:\Windows\System32\svchost.exe -k NetworkService -p
0,0x14b17a226c0,498,1924,SERVICE_AUTO_START,SERVICE_RUNNING,SERVICE_WIN32_OWN_PROCESS,Wcmsvc,Windows Connection Manager,C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p
0,0x14b179d78c0,36,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_WIN32_OWN_PROCESS,Audiosrv,Windows Audio,N/A
0,0x14b179d6020,23,4500,SERVICE_DEMAND_START,SERVICE_RUNNING,SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS,Appinfo,Application Information,C:\Windows\system32\svchost.exe -k netsvcs -p
0,0x14b17a1bb70,443,2004,SERVICE_DEMAND_START,SERVICE_RUNNING,SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS,UmRdpService,Remote Desktop Services UserMode Port Redirector,C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p
0,0x14b179d7a60,37,2768,SERVICE_AUTO_START,SERVICE_RUNNING,SERVICE_WIN32_OWN_PROCESS,AWSLiteAgent,AWS Lite Guest Agent,"""C:\Program Files\Amazon\XenTools\LiteAgent.exe"""
0,0x14b179e6ad0,140,1260,SERVICE_AUTO_START,SERVICE_RUNNING,SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS,FontCache,Windows Font Cache Service,C:\Windows\system32\svchost.exe -k LocalService -p
0,0x14b179fb5b0,263,1848,SERVICE_DEMAND_START,SERVICE_RUNNING,SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS,netprofm,Network List Service,C:\Windows\System32\svchost.exe -k LocalService -p
0,0x14b179fb410,261,776,SERVICE_AUTO_START,SERVICE_RUNNING,SERVICE_WIN32_SHARE_PROCESS,Netlogon,Netlogon,C:\Windows\system32\lsass.exe
0,0x14b17a09190,367,2456,SERVICE_DEMAND_START,SERVICE_RUNNING,SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS,SessionEnv,Remote Desktop Configuration,C:\Windows\System32\svchost.exe -k netsvcs -p
0,0x14b17a0a6b0,386,N/A,SERVICE_DISABLED,SERVICE_STOPPED,SERVICE_WIN32_SHARE_PROCESS,SSDPSRV,SSDP Discovery,N/A
0,0x14b17a036c0,304,1668,SERVICE_AUTO_START,SERVICE_RUNNING,SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS,ProfSvc,User Profile Service,C:\Windows\system32\svchost.exe -k netsvcs -p
0,0x14b179ee470,176,2560,SERVICE_AUTO_START,SERVICE_RUNNING,SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS,iphlpsvc,IP Helper,C:\Windows\System32\svchost.exe -k NetSvcs -p
0,0x14b17a09330,357,1824,SERVICE_AUTO_START,SERVICE_RUNNING,SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS,SENS,System Event Notification Service,C:\Windows\system32\svchost.exe -k netsvcs -p
0,0x14b17a34ec0,537,N/A,SERVICE_DISABLED,SERVICE_STOPPED,SERVICE_WIN32_OWN_PROCESS,WSearch,Windows Search,N/A
0,0x14b179f2c50,215,N/A,SERVICE_DEMAND_START,SERVICE_RUNNING,SERVICE_KERNEL_DRIVER,MMCSS,MMCSS,\Driver\MMCSS
0,0x14b17a353a0,527,6484,SERVICE_DEMAND_START,SERVICE_RUNNING,SERVICE_WIN32_OWN_PROCESS|SERVICE_WIN32_SHARE_PROCESS,wlidsvc,Microsoft Account Sign-in Assistant,C:\Windows\system32\svchost.exe -k netsvcs -p
